name,game_played_wr,opening_hand_wr,game_in_hand_wr
Break Down the Door,0.5454829688558476,0.5353691137158133,0.5573694325357437
"Tyvar, the Pummeler",0.5730217737652682,0.6231351351351352,0.6295191612436731
Razorkin Needlehead,0.5495241537164197,0.5719122426868906,0.5651521517315887
Rampaging Soulrager,0.4919566357754852,0.4668536990856193,0.4941166756120722
Untimely Malfunction,0.5280738901869159,0.5106134826218801,0.5296541151671936
Fear of the Dark,0.4979760571871501,0.4861995753715499,0.5082152263890631
The Tale of Tamiyo,0.47090352220520676,0.5353982300884956,0.48628884826325414
Cult Healer,0.5352593201387628,0.5256224182203862,0.5291202855666713
Coordinated Clobbering,0.5387740273465883,0.5466922077033591,0.5545668601467528
Appendage Amalgam,0.5095605266060381,0.5000292791473913,0.51440329218107
House Cartographer,0.5368922741141623,0.5607906514172054,0.5429388788028827
Spineseeker Centipede,0.5518163348751629,0.5597970307681274,0.5716527476901644
Fear of Failed Tests,0.5065558966949611,0.49674569967456994,0.5095205123766661
Lakeside Shack,0.5449760089145386,0.5577165496128219,0.5504326069102508
Shardmage's Rescue,0.5539862773613753,0.5636075577983805,0.5650601555298178
Collected Company,0.5240837696335079,0.5357142857142857,0.5364916773367477
Valgavoth's Lair,0.5350412584392262,0.543403205918619,0.5319751898192706
Erratic Apparition,0.5253800241628649,0.5131252310780119,0.5271661818722266
Cautious Survivor,0.5282404524699045,0.5104299363057325,0.5243008773947619
Ghost Vacuum,0.5408770609564206,0.5641711229946524,0.560434758861762
Keys to the House,0.512190638141416,0.501002004008016,0.508243381128833
Growing Dread,0.5533016465795281,0.5759404980058208,0.5797839073518946
Shrewd Storyteller,0.5155261505770995,0.5211327735875907,0.5095357590966123
"Altanak, the Thrice-Called",0.5386950793378015,0.5139251847980288,0.5391745112237509
Balemurk Leech,0.5026195493223715,0.49687418598593386,0.5057261275017724
Unholy Heat,0.5485212569316081,0.5633608815426997,0.5797438882421421
Scorching Dragonfire,0.5570363902145169,0.5717395762671756,0.5740608963393774
Exorcise,0.5525650672377534,0.5532038271962888,0.566793711291091
Gremlin Tamer,0.5665953074156533,0.6210823437804166,0.6003266173461357
Greenhouse // Rickety Gazebo,0.4857238831037958,0.46536368134586836,0.49606616905386325
Trial of Agony,0.5423152831693003,0.5176278118609406,0.5375613439033597
Etched Cornfield,0.5203390062571026,0.5389338125187182,0.5233945258135065
Ethereal Armor,0.5572772551189817,0.5615309126594701,0.5772000841131322
Pyroclasm,0.5082991053845721,0.5030556449018977,0.5233222591362127
Friendly Teddy,0.5213741858545088,0.5072958443553204,0.5116981132075472
Waltz of Rage,0.5402336679282541,0.550367107195301,0.5626525388415977
Defiled Crypt // Cadaver Lab,0.518181937914049,0.4996337592577521,0.535358644453577
Seized from Slumber,0.545355823824486,0.5384873273434357,0.5605951686627694
Paranormal Analyst,0.5480796103325748,0.5695173581710415,0.5643559826126745
Betrayer's Bargain,0.5584883023395321,0.5559671116900032,0.5785482672431264
Fear of Being Hunted,0.5598080932561366,0.5735586481113321,0.56983571555661
